name      , patterns
"Prateado", "(PRATEADO|PRATEADA|SILVER|PRATA)"
"Dourado" , "(DOURADO|DOURADA|DORADO|DORADA|GOLD)"
"Branco"  , "(BRANCO|BRANCA|WHITE)"
"Preto"   , "(PRETO|PRETA|PERTO|PERTA|PIRTO|PIRTA|BLACK)"
"Cinzento", "(CINZENTO|CINZENTA|CINZA|GREY|GRAY|SINZENTO)"
"Azul"    , "(AZUL|BLUE|CIANO|CYAN|TURQUESA)"
"Vermelho", "(VERMELHO|VERMALHO|VERMELHA|VERMALHA|ENCARNADO|ENCARNADA|RED)"
"Rosa"    , "(ROSA|ROSINHA|ROSE)"
"Verde"   , "(VERDE|GREEN)"
"Roxo"    , "(ROXO|ROXA|ROCHO|ROCHA|LILAS|PURPLE)"
